pitId,raceId,driverId,stop,lap,duration
579,850,816,1,24,20.762
580,850,5,1,26,22.088
581,850,17,2,30,21.299
582,850,812,2,28,22.331
583,850,1,2,31,20.496
584,850,4,2,32,20.035
585,850,813,2,35,21.057
586,850,3,2,36,20.975
587,850,67,2,36,20.954
588,850,30,2,37,20.299
589,850,20,2,40,20.274
590,850,13,2,41,20.185
591,850,815,2,41,21.645
592,850,153,2,43,21.689
593,850,808,2,46,20.572
594,850,16,2,48,20.879
595,850,155,2,48,21.267
596,850,10,2,48,21.252
597,850,1,3,51,20.403
598,850,816,2,49,23.588
599,850,817,2,49,24.053
600,850,5,2,50,21.175
601,850,814,2,51,22.535
602,850,4,3,53,19.975
603,850,3,3,53,20.047
604,850,812,3,51,22.458
605,850,17,3,56,20.324
606,850,30,3,56,19.930
607,850,13,3,59,21.903
608,850,20,3,59,20.110
609,851,17,1,10,20.854
610,851,13,1,10,22.293
611,851,808,1,10,25.532
612,851,22,1,10,22.640
613,851,18,1,11,21.786
614,851,814,1,11,22.262
615,851,813,1,11,23.397
616,851,2,1,11,21.371
617,851,10,1,11,22.222
618,851,816,1,11,25.337
619,851,1,1,12,21.880
620,851,20,1,12,20.690
621,851,4,1,12,22.886
622,851,3,1,12,20.767
623,851,155,1,12,23.725
624,851,67,1,12,22.349
625,851,5,1,12,22.772
626,851,16,1,12,21.902
627,851,815,1,12,22.215
628,851,24,1,12,23.633
629,851,30,1,13,21.948
630,851,153,1,13,23.734
631,851,15,1,13,23.118
632,851,817,1,13,22.844
633,851,813,2,16,13.186
634,851,2,2,23,25.434
635,851,22,2,24,22.217
636,851,153,2,24,22.552
637,851,5,2,24,22.147
638,851,815,2,24,20.570
639,851,17,2,25,20.000
640,851,4,2,25,23.208
641,851,13,2,25,21.138
642,851,808,2,25,24.194
643,851,67,2,25,21.460
644,851,1,2,26,20.803
645,851,30,2,26,20.071
646,851,24,2,25,22.501
647,851,16,2,26,20.589
648,851,18,2,27,21.065
649,851,3,2,27,19.939
650,851,814,2,27,20.801
651,851,20,2,28,20.611
652,851,813,3,28,21.426
653,851,10,2,28,20.613
654,851,817,2,28,23.563
655,851,816,2,29,20.916
656,851,815,3,32,13.201
657,851,155,2,34,22.852
658,851,4,3,36,19.936
659,851,22,3,37,20.580
660,851,17,3,39,20.673
661,851,24,3,37,27.839
662,851,1,3,40,20.861
663,851,13,3,40,22.453
664,851,20,3,41,19.664
665,851,18,3,42,20.046
666,851,814,3,42,20.935
667,851,67,3,43,20.360
668,851,5,3,43,20.990
669,851,815,4,44,20.917
670,851,817,3,43,21.651
671,851,4,4,47,20.126
672,851,153,3,47,21.345
673,851,816,3,47,49.849
674,851,3,3,50,20.563
675,851,17,4,51,21.122
676,851,808,3,50,21.353
677,851,22,4,50,31.539
678,851,5,4,49,22.364
679,851,16,3,50,21.796
680,851,24,4,48,23.010
681,851,813,4,50,23.016
682,851,1,4,52,20.855
683,851,17,5,53,20.715
684,851,22,5,52,25.596
685,851,1,5,54,21.628
686,851,808,4,53,21.609
687,851,5,5,52,21.715
688,851,16,4,53,21.503
689,851,816,4,51,22.470
690,851,3,4,54,23.244
691,851,813,5,53,22.825
692,851,24,5,51,22.458
693,851,10,3,53,20.929
694,851,1,6,56,13.173
695,851,13,4,58,21.157
696,851,155,3,62,21.258
697,852,10,1,1,35.092
698,852,811,1,1,30.795
699,852,5,1,1,28.539
700,852,17,1,3,21.015
701,852,18,1,3,26.046
702,852,30,1,4,20.153
703,852,20,1,5,20.898
704,852,815,1,5,26.092
705,852,10,2,6,13.914
706,852,4,1,8,20.994
707,852,811,2,8,13.968
708,852,13,1,9,22.267
